               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,            0.063011,            0.054566,            0.029456,             0.80085,             0.37835,             0.46715,              0.1935,            0.051381,            0.053007,            0.025457,           0.0035336,           0.0035336,            0.062834
                  51,            0.050892,            0.050819,            0.028941,             0.79649,             0.38325,              0.4947,              0.2514,            0.047358,            0.053296,            0.025282,           0.0035821,           0.0035821,            0.062082
                  52,            0.051828,            0.050622,              0.0284,              0.7038,             0.35671,             0.38594,             0.14682,            0.054669,            0.054789,            0.024941,           0.0036295,           0.0036295,             0.06133
                  53,             0.05642,            0.052944,            0.028731,             0.68943,              0.3763,             0.44377,             0.20239,            0.051749,            0.056144,            0.024711,           0.0036758,           0.0036758,            0.060576
                  54,            0.051208,            0.048452,            0.028276,             0.74071,             0.37835,             0.49195,             0.26285,            0.048516,            0.054237,            0.024638,           0.0037209,           0.0037209,            0.059821
                  55,            0.055025,            0.049452,            0.028493,             0.77424,             0.41759,             0.52043,             0.20996,            0.049948,            0.055184,            0.024171,           0.0037649,           0.0037649,            0.059065
                  56,            0.048826,            0.048797,            0.027947,             0.90355,             0.33565,             0.50709,              0.2748,            0.047375,            0.053519,            0.024182,           0.0038076,           0.0038076,            0.058308
                  57,            0.062548,             0.05063,            0.027996,             0.73994,             0.42469,             0.48743,             0.22123,             0.04971,            0.054356,            0.023773,           0.0038492,           0.0038492,            0.057549
                  58,            0.061297,            0.048052,            0.027168,             0.78763,             0.40117,             0.50071,             0.23347,            0.049839,            0.055003,            0.023565,           0.0038896,           0.0038896,             0.05679
                  59,            0.048423,            0.050534,            0.027218,             0.84524,             0.41895,             0.51503,             0.21694,            0.049228,            0.055488,            0.023299,           0.0039287,           0.0039287,            0.056029
                  60,            0.048251,             0.05041,            0.026659,             0.77887,             0.42521,             0.49975,             0.25406,            0.047315,            0.053398,            0.023104,           0.0039666,           0.0039666,            0.055267
                  61,            0.047287,            0.047893,            0.026397,             0.86264,             0.40678,             0.54083,             0.21242,            0.050172,            0.056169,            0.022926,           0.0040033,           0.0040033,            0.054503
                  62,            0.045187,            0.050147,            0.026368,             0.89099,             0.37022,             0.53311,             0.20984,            0.049904,            0.054039,            0.022829,           0.0040388,           0.0040388,            0.053739
                  63,             0.05442,            0.049744,            0.026548,             0.75226,             0.38478,             0.46473,             0.20989,            0.050175,            0.054725,            0.022712,            0.004073,            0.004073,            0.052973
                  64,             0.04762,            0.049378,            0.026066,              0.8276,             0.38387,             0.52054,             0.28885,            0.046207,            0.052593,            0.022732,           0.0041059,           0.0041059,            0.052206
                  65,            0.060369,            0.051644,            0.025731,             0.86666,             0.41398,             0.53584,             0.21806,            0.049794,            0.054437,            0.022472,           0.0041376,           0.0041376,            0.051438
                  66,            0.047984,            0.053006,            0.025655,             0.80802,             0.42995,             0.54658,             0.24197,            0.048825,            0.052778,            0.022241,            0.004168,            0.004168,            0.050668
                  67,            0.046524,            0.048644,            0.025436,             0.72362,             0.46548,             0.54392,             0.28553,            0.047444,            0.053073,            0.021932,           0.0041972,           0.0041972,            0.049897
                  68,            0.046007,            0.044665,             0.02505,             0.89406,             0.33391,             0.54712,             0.29303,            0.046442,               0.051,            0.021725,            0.004225,            0.004225,            0.049125
                  69,            0.045898,            0.047673,            0.025225,             0.82212,             0.42613,             0.55229,                0.27,            0.048903,            0.053585,            0.021558,           0.0042516,           0.0042516,            0.048352
                  70,            0.067129,            0.049188,            0.024867,             0.84313,             0.41075,             0.55049,             0.25673,            0.049326,            0.053249,            0.021423,           0.0042769,           0.0042769,            0.047577
                  71,            0.060446,            0.048481,             0.02498,             0.77777,             0.39902,             0.52603,             0.31531,            0.048379,            0.052671,            0.021584,           0.0043008,           0.0043008,            0.046801
                  72,            0.052364,            0.049948,            0.024233,             0.75096,             0.44551,             0.56305,             0.30008,            0.047626,            0.050777,            0.021236,           0.0043235,           0.0043235,            0.046024
                  73,            0.047661,            0.050717,            0.024697,             0.84518,             0.38949,             0.58035,             0.24178,            0.051104,            0.053363,             0.02123,           0.0043449,           0.0043449,            0.045245
                  74,            0.046137,            0.046163,            0.024523,             0.72591,             0.45077,             0.57635,             0.31211,            0.047378,             0.05263,            0.021122,            0.004365,            0.004365,            0.044465
                  75,            0.057677,            0.049558,              0.0243,             0.73255,              0.5069,             0.55616,             0.30773,            0.047131,            0.051295,            0.020886,           0.0043838,           0.0043838,            0.043684
                  76,            0.044579,            0.045965,             0.02358,             0.82397,             0.43747,             0.59888,             0.33294,            0.046583,            0.052351,            0.020855,           0.0044013,           0.0044013,            0.042901
                  77,            0.052153,            0.047573,            0.023571,             0.73347,             0.48565,              0.5653,              0.2937,            0.046509,            0.051682,            0.020746,           0.0044175,           0.0044175,            0.042117
                  78,            0.044423,            0.047734,            0.023213,               0.808,             0.44155,             0.60957,             0.35509,            0.044551,            0.050024,            0.020748,           0.0044323,           0.0044323,            0.041332
                  79,            0.051593,            0.050804,            0.023639,             0.86397,             0.41607,             0.60754,             0.35172,            0.045263,            0.050654,            0.020545,           0.0044459,           0.0044459,            0.040546
                  80,            0.049184,            0.045889,            0.022882,             0.35875,             0.70199,             0.46613,              0.1695,            0.053091,            0.056184,            0.021345,           0.0044582,           0.0044582,            0.039758
                  81,            0.050961,             0.05862,            0.024218,             0.75932,             0.43796,             0.48145,             0.15414,            0.051864,            0.055689,            0.020515,           0.0044692,           0.0044692,            0.038969
                  82,            0.057604,            0.051788,            0.024227,             0.26971,             0.80382,             0.46712,             0.17596,            0.051698,            0.053295,            0.020554,           0.0044789,           0.0044789,            0.038179
                  83,            0.062842,            0.052302,            0.024242,             0.42901,             0.63393,              0.5267,             0.23641,            0.051521,             0.05314,            0.020521,           0.0044873,           0.0044873,            0.037387
                  84,            0.051046,            0.055096,            0.023692,             0.32105,             0.75027,             0.56226,             0.21266,            0.049928,            0.054975,            0.020539,           0.0044944,           0.0044944,            0.036594
                  85,            0.049471,            0.056095,              0.0234,             0.73741,             0.50512,             0.60392,              0.2913,            0.048804,            0.052409,             0.02127,           0.0045002,           0.0045002,              0.0358
                  86,            0.059382,            0.049592,            0.023531,             0.66787,             0.42217,             0.46506,             0.23233,            0.057846,            0.053394,            0.020393,           0.0045047,           0.0045047,            0.035005
                  87,            0.061414,            0.050882,            0.023784,             0.83722,             0.25882,             0.49522,             0.23755,            0.050683,            0.053626,            0.020872,            0.004508,            0.004508,            0.034208
                  88,            0.055309,            0.050757,            0.023371,             0.70704,             0.47495,             0.55382,             0.26073,            0.050323,            0.051784,            0.020334,             0.00451,             0.00451,             0.03341
